e1,r,e2
8652,author_write_paper,2783
7465,paper_in_domain,1485
9509,paper_in_domain,2415
13083,author_in_affiliation,2012
13481,author_in_affiliation,16319
15586,author_write_paper,10238
10745,author_in_affiliation,30
12773,author_write_paper,9901
2631,author_write_paper,5202
14655,paper_in_domain,3003
6040,paper_in_domain,2078
16257,author_in_affiliation,639
13255,paper_in_domain,2364
10007,author_in_affiliation,1017
15291,author_in_affiliation,1932
11034,paper_cite_paper,7908
4988,author_in_affiliation,1112
6748,paper_in_domain,247
16220,author_write_paper,12554
7482,paper_in_domain,1669
5183,paper_in_domain,2364
13940,author_in_affiliation,2648
12944,paper_in_domain,2512
8457,paper_in_venue,4088
15650,author_write_paper,7667
7354,paper_in_venue,4109
958,paper_in_domain,1755
15782,author_write_paper,10573
12860,author_write_paper,4387
6655,paper_in_domain,1951
8081,paper_in_domain,1951
8565,author_write_paper,13369
6292,paper_in_venue,4093
15034,author_write_paper,10627
15743,author_write_paper,9861
14769,author_write_paper,5854
5777,paper_in_domain,2476
14238,paper_in_venue,4088
14816,paper_in_domain,464
7849,paper_in_domain,153
13607,paper_in_domain,2333
9332,paper_in_domain,1713
10219,paper_in_domain,119
5103,paper_in_domain,1190
6938,author_in_affiliation,1474
13944,paper_cite_paper,11273
9447,paper_cite_paper,13616
10121,paper_in_domain,228
3822,author_write_paper,4535
6523,author_write_paper,4621
1675,paper_in_domain,1856
9228,paper_in_domain,3736
300,paper_in_domain,1478
14834,author_write_paper,14629
5828,author_in_affiliation,2980
11956,paper_in_domain,2926
13825,paper_cite_paper,11078
8464,paper_in_domain,1930
6928,paper_cite_paper,7598
1315,author_write_paper,4687
10900,author_write_paper,6833
9969,paper_cite_paper,7298
5554,author_in_affiliation,801
7236,author_in_affiliation,982
3815,author_write_paper,5552
13344,paper_in_domain,1239
14486,paper_in_domain,1557
14632,author_write_paper,13618
8580,author_write_paper,11125
8850,paper_in_domain,1644
11019,paper_in_domain,354
3918,author_in_affiliation,3043
10884,paper_in_domain,2364
6139,author_write_paper,14087
6604,paper_in_domain,1357
12058,paper_cite_paper,8431
4327,paper_in_venue,4134
13276,paper_in_venue,4088
214,paper_in_domain,1407
8637,paper_in_domain,3008
7845,author_write_paper,12802
9437,author_write_paper,8114
8465,paper_in_domain,1856
9478,paper_cite_paper,12416
10365,paper_in_venue,4123
11939,paper_in_domain,387
13317,paper_cite_paper,4797
2782,paper_in_venue,4132
9524,paper_in_domain,3787
5441,author_in_affiliation,4264
12689,paper_cite_paper,14172
5322,paper_cite_paper,4448
13895,paper_in_domain,1030
5679,paper_in_domain,2270
9876,paper_in_domain,1964
14501,author_write_paper,4415
16068,author_write_paper,11661
5899,paper_cite_paper,9538
4376,paper_in_venue,4134
9494,paper_in_domain,1782
10573,paper_in_domain,656
1727,author_write_paper,12417
11846,author_write_paper,9827
11457,paper_cite_paper,7703
9193,paper_in_venue,4109
3169,author_in_affiliation,1269
5668,author_write_paper,14422
12284,author_in_affiliation,4265
4182,author_write_paper,10145
13096,author_write_paper,10420
5747,paper_in_domain,2891
16156,author_write_paper,2628
10209,author_in_affiliation,4267
9319,paper_in_domain,1655
6338,paper_in_domain,810
12077,paper_in_domain,2070
10093,paper_in_domain,656
4353,paper_in_domain,818
8810,paper_in_venue,4109
7916,paper_cite_paper,12320
10860,author_in_affiliation,2487
10136,author_write_paper,13182
5062,paper_in_domain,1909
13902,paper_in_domain,1867
11929,author_in_affiliation,1232
7533,author_in_affiliation,1763
10363,author_in_affiliation,3107
14737,paper_cite_paper,13167
7645,author_write_paper,4558
5013,paper_in_domain,2574
11254,paper_in_venue,4088
1197,author_in_affiliation,2758
9079,paper_in_venue,4109
5311,paper_in_domain,1433
5552,paper_in_venue,4108
7590,paper_in_domain,2815
13982,author_write_paper,5003
12524,author_in_affiliation,2168
4452,paper_in_domain,1639
838,author_write_paper,4375
6780,paper_in_domain,2110
10870,author_write_paper,6386
15371,paper_in_domain,2478
10220,author_in_affiliation,2224
9603,paper_in_venue,4109
8172,paper_in_domain,824
3516,author_write_paper,5035
6658,author_write_paper,4492
11342,paper_in_domain,2969
14168,author_write_paper,13871
6285,author_write_paper,12079
13324,author_write_paper,12753
3468,author_write_paper,4541
2199,author_in_affiliation,1763
13369,paper_in_domain,2330
6345,paper_in_domain,655
3325,author_write_paper,6110
10158,author_write_paper,11220
5257,paper_cite_paper,6588
14063,paper_in_venue,4088
12589,paper_in_venue,4116
11059,paper_in_domain,1935
8807,paper_in_domain,1225
12862,author_in_affiliation,200
3571,author_write_paper,1500
12078,paper_cite_paper,12003
6349,paper_in_domain,1710
12808,paper_cite_paper,6971
13674,paper_cite_paper,11804
14380,author_write_paper,7755
7218,paper_cite_paper,14206
8356,paper_in_venue,4106
12065,author_write_paper,11229
10747,paper_in_domain,1098
7401,paper_in_domain,717
12180,author_in_affiliation,2409
14156,paper_in_venue,4123
14977,author_write_paper,12098
9548,paper_in_domain,138
11944,paper_cite_paper,1613
1525,author_write_paper,10409
8672,paper_cite_paper,9102
13332,author_write_paper,14533
13926,author_write_paper,11672
15457,author_write_paper,8453
8244,paper_cite_paper,10968
15562,author_in_affiliation,2461
5792,author_in_affiliation,1436
4593,paper_in_domain,1646
12612,paper_in_domain,13
11589,paper_cite_paper,14511
12582,author_write_paper,8568
14901,author_write_paper,2652
7898,author_write_paper,11672
9303,paper_in_venue,4109
8408,paper_in_domain,2688
6109,paper_in_domain,387
11139,author_write_paper,13403
4284,author_write_paper,10203
8738,paper_in_venue,4088
12678,author_write_paper,9008
158,author_write_paper,9108
4936,author_in_affiliation,1474
13241,paper_in_domain,1286
12401,paper_in_domain,2425
13325,author_write_paper,14871
15617,author_write_paper,10728
9286,paper_in_venue,4097
7135,author_write_paper,11360
8246,paper_in_venue,4119
8839,paper_in_domain,1370
13928,paper_cite_paper,10165
14867,author_in_affiliation,2605
13674,paper_cite_paper,6727
2480,paper_in_venue,4124
10225,paper_in_domain,539
11145,paper_in_domain,177
1315,author_write_paper,13812
7305,author_write_paper,11951
6568,paper_in_venue,4088
2637,paper_in_domain,203
8322,author_write_paper,9693
14822,paper_cite_paper,11124
12063,paper_in_domain,443
11940,author_write_paper,9764
12096,author_write_paper,4893
15625,author_write_paper,5523
7932,paper_in_domain,1119
9004,author_in_affiliation,4225
5871,paper_in_domain,388
7235,author_write_paper,14066
11227,author_in_affiliation,1151
9404,paper_in_domain,500
12699,author_write_paper,9627
10569,paper_cite_paper,1788
15294,paper_in_domain,1302
9542,paper_in_venue,4109
3954,author_write_paper,6210
9966,paper_cite_paper,5175
12999,paper_in_domain,2295
4495,paper_in_domain,1893
11765,author_in_affiliation,323
7016,paper_in_domain,1615
5891,author_write_paper,14091
13610,paper_cite_paper,10667
8333,author_in_affiliation,1474
7530,paper_in_domain,1431
11490,paper_in_domain,717
1897,author_in_affiliation,842
10048,paper_in_venue,4107
5459,paper_in_domain,2375
14654,paper_in_domain,1791
8783,paper_in_domain,1804
11726,paper_in_domain,221
4917,paper_cite_paper,4536
8612,author_in_affiliation,449
12352,author_in_affiliation,982
10569,paper_in_domain,235
8190,author_write_paper,8227
5191,paper_in_domain,1639
7459,paper_in_domain,1930
12130,paper_cite_paper,5546
14303,author_in_affiliation,813
265,author_write_paper,4386
8670,paper_in_domain,2508
9811,paper_in_venue,4116
14278,paper_in_domain,2070
13403,paper_in_venue,4110
12344,paper_cite_paper,9377
8203,author_write_paper,10919
13202,paper_in_domain,472
4377,paper_in_domain,1302
873,author_write_paper,4665
15357,paper_in_domain,3113
3406,author_write_paper,10531
11413,paper_cite_paper,4394
12710,paper_cite_paper,9446
13225,paper_cite_paper,5108
7439,author_write_paper,7446
9425,author_write_paper,11407
2191,paper_in_domain,1478
4437,paper_in_domain,2593
6835,paper_in_domain,2322
6437,paper_cite_paper,11787
13459,paper_in_domain,1883
12999,paper_cite_paper,11189
8381,paper_cite_paper,14008
12964,paper_in_domain,2372
14779,paper_in_domain,2833
8347,paper_in_domain,508
10513,paper_in_domain,2364
14597,author_write_paper,10684
7215,paper_in_domain,2842
4367,paper_in_venue,4124
8589,author_in_affiliation,329
10268,author_write_paper,7883
14918,author_write_paper,7706
7576,author_write_paper,9922
8501,author_write_paper,10616
432,paper_in_domain,1646
12634,paper_cite_paper,8874
3482,author_in_affiliation,854
1608,author_write_paper,4581
8072,paper_in_domain,1837
13145,paper_in_venue,4119
12627,paper_in_venue,4088
15319,author_in_affiliation,4272
10328,author_write_paper,4485
5308,author_in_affiliation,2409
9154,paper_in_domain,4
12793,paper_cite_paper,12879
14655,paper_cite_paper,4386
11628,author_write_paper,11423
8297,paper_in_venue,4119
10582,paper_in_domain,2279
13088,author_in_affiliation,4225
10288,paper_in_domain,2087
10982,author_in_affiliation,415
5157,author_in_affiliation,2003
10879,paper_in_domain,3739
7953,author_write_paper,6040
5796,paper_cite_paper,11517
13891,paper_cite_paper,13402
3312,author_write_paper,12976
9914,author_write_paper,4831
7514,author_write_paper,10752
10366,author_in_affiliation,1880
4543,paper_in_venue,4134
9474,author_write_paper,14086
11802,paper_cite_paper,4938
11254,paper_in_domain,1086
12973,author_write_paper,5794
10216,paper_in_venue,4088
12721,paper_cite_paper,8953
6891,paper_in_domain,1570
12728,paper_cite_paper,14260
7293,paper_in_venue,4113
12677,author_write_paper,12237
13972,paper_cite_paper,8367
9834,paper_in_domain,695
3414,author_in_affiliation,645
8930,paper_in_domain,1639
7300,paper_in_domain,1856
12551,paper_in_domain,2364
9224,paper_in_domain,656
10766,paper_in_venue,4109
8296,paper_in_venue,4107
7415,paper_in_domain,2795
3394,author_write_paper,9012
14533,paper_in_domain,1655
10245,paper_in_domain,1846
8769,paper_in_domain,3113
3413,author_in_affiliation,2809
8367,paper_in_domain,539
7312,paper_cite_paper,8041
9237,author_in_affiliation,1017
7956,author_write_paper,13411
7415,paper_cite_paper,2257
9220,author_write_paper,7835
8145,author_write_paper,12681
5151,paper_in_domain,1935
9572,author_write_paper,9424
6276,author_write_paper,4640
16043,author_in_affiliation,210
9839,author_write_paper,14514
14181,paper_in_domain,1694
15970,author_write_paper,555
10459,paper_in_domain,1856
13668,author_write_paper,11044
9362,paper_cite_paper,8689
11041,paper_in_domain,1951
12663,author_in_affiliation,744
3917,author_write_paper,6306
13854,paper_in_domain,2522
11007,paper_cite_paper,11312
12222,paper_cite_paper,9669
8580,author_write_paper,8202
7072,author_write_paper,13151
7420,author_in_affiliation,3031
7947,paper_cite_paper,5137
11799,author_in_affiliation,4264
6257,paper_cite_paper,7535
14484,paper_in_domain,1540
9747,author_write_paper,9758
5342,paper_in_domain,387
9100,paper_cite_paper,6206
7363,paper_in_venue,4108
13008,paper_in_domain,1716
10227,paper_in_venue,4088
265,author_in_affiliation,408
5956,author_in_affiliation,1403
12594,paper_in_venue,4109
12298,author_write_paper,8757
9026,paper_in_domain,2639
9930,author_write_paper,12067
9515,author_in_affiliation,1151
7952,paper_in_domain,1856
5809,author_write_paper,10481
14933,author_write_paper,4476
4804,paper_in_venue,4119
10109,paper_cite_paper,8240
1136,author_write_paper,14687
6078,paper_cite_paper,12305
5408,author_in_affiliation,1798
8118,paper_in_domain,836
13608,paper_in_domain,1493
6047,author_write_paper,12553
8295,paper_in_domain,457
6023,paper_in_venue,4097
5212,paper_in_domain,1981
6374,paper_in_domain,1713
14095,paper_cite_paper,14159
8839,paper_cite_paper,5546
1519,author_write_paper,6105
15761,author_write_paper,11290
12700,paper_in_domain,2379
13300,paper_in_venue,4088
4315,paper_in_domain,717
6798,paper_in_domain,457
14303,author_write_paper,14830
3836,author_write_paper,14144
4967,paper_in_domain,2772
5584,paper_in_venue,4097
11679,paper_in_venue,4088
9025,paper_in_domain,1668
11015,paper_in_venue,4110
8621,author_write_paper,14055
15454,author_write_paper,10790
11797,paper_cite_paper,14654
12358,author_write_paper,6263
5072,paper_in_domain,1617
14151,paper_in_venue,4107
6880,paper_cite_paper,11711
14317,paper_in_domain,1370
14595,author_in_affiliation,22
6238,author_write_paper,7273
15890,author_write_paper,13250
14226,paper_in_domain,656
12719,author_write_paper,7782
8753,author_write_paper,11746
5146,paper_cite_paper,4362
5595,author_in_affiliation,4225
5081,author_write_paper,4611
14759,author_write_paper,8350
4555,paper_in_domain,1856
5885,paper_cite_paper,7837
8689,paper_in_domain,2769
10318,author_in_affiliation,1831
6120,paper_in_domain,153
12271,paper_in_domain,1876
13601,author_write_paper,5470
7615,paper_in_domain,2343
11599,paper_in_domain,1478
9804,paper_in_domain,1755
13445,paper_in_venue,4088
5977,author_in_affiliation,982
15350,author_in_affiliation,2069
16021,author_write_paper,6205
7195,author_write_paper,7927
10478,paper_in_venue,4088
6756,paper_in_domain,2320
11546,paper_in_venue,4109
14087,paper_in_domain,2211
12348,author_write_paper,9884
15369,paper_in_domain,1930
6287,paper_in_venue,4110
7139,paper_cite_paper,12066
11471,paper_in_domain,1208
11665,paper_in_domain,928
13760,paper_in_domain,2642
9300,paper_in_venue,4110
13518,paper_in_domain,730
14551,paper_in_domain,2542
11109,paper_in_domain,153
10776,paper_in_domain,129
13199,paper_in_venue,4124
5683,author_write_paper,6279
10019,paper_cite_paper,6145
9608,author_write_paper,6221
51,paper_in_venue,4124
1046,author_in_affiliation,1151
9590,author_write_paper,6292
6503,author_write_paper,2217
1378,author_write_paper,12117
14226,paper_in_venue,4113
10794,paper_in_venue,4093
12267,author_write_paper,12066
2190,paper_cite_paper,9607
9855,author_write_paper,9078
9259,paper_cite_paper,8588
7814,paper_cite_paper,6359
7505,paper_in_domain,1177
5239,paper_in_domain,2839
8903,paper_in_domain,2694
11784,author_write_paper,10138
13808,author_write_paper,12573
6496,paper_in_venue,4116
11460,paper_in_venue,4116
14015,paper_in_venue,4109
12375,paper_in_domain,2679
8821,author_write_paper,9724
10989,author_write_paper,9842
3343,author_write_paper,7252
12759,paper_cite_paper,15357
12014,paper_in_domain,2040
5530,paper_in_venue,4108
13476,paper_in_domain,2442
5821,author_write_paper,14183
9604,author_write_paper,11258
863,author_write_paper,5674
10947,paper_cite_paper,11341
9643,paper_in_domain,2309
16205,author_write_paper,4915
14055,paper_in_domain,364
8334,paper_cite_paper,6563
606,paper_in_domain,763
7846,author_in_affiliation,2019
9612,paper_cite_paper,8214
15135,author_write_paper,13713
13490,paper_cite_paper,9944
1406,author_in_affiliation,2003
2493,paper_in_venue,4124
6144,author_write_paper,9921
5118,author_write_paper,6940
14792,author_write_paper,1132
10845,paper_cite_paper,8041
14165,paper_in_venue,4116
6833,paper_in_domain,2379
12680,author_in_affiliation,1523
9587,author_write_paper,14696
11528,paper_in_venue,4107
15274,author_write_paper,8841
11066,author_write_paper,11758
5995,paper_in_domain,1431
4801,paper_in_domain,1646
3851,author_write_paper,11189
14373,paper_in_domain,1049
14167,author_in_affiliation,2409
10480,paper_in_domain,1755
13595,author_in_affiliation,2646
8502,paper_in_venue,4088
16028,author_write_paper,8373
13466,paper_in_venue,4093
4141,author_in_affiliation,2168
9480,paper_in_venue,4088
10562,author_in_affiliation,2534
8223,paper_in_domain,1478
14367,paper_in_venue,4119
5832,paper_cite_paper,6732
10343,paper_in_domain,2975
13545,author_in_affiliation,2357
13068,author_write_paper,5857
8915,paper_in_venue,4114
5435,paper_cite_paper,6013
9694,author_in_affiliation,2168
8919,paper_in_domain,655
6383,paper_in_venue,4109
5552,paper_cite_paper,5675
5526,author_write_paper,7483
943,paper_cite_paper,14563
5613,author_write_paper,11505
14073,paper_in_domain,1478
7212,paper_in_venue,4114
2480,paper_in_domain,2330
15933,author_write_paper,5327
10988,paper_in_domain,3054
8714,author_in_affiliation,920
11205,paper_in_domain,203
12721,paper_in_domain,1930
11587,paper_in_domain,1930
15713,author_write_paper,14538
11782,paper_in_domain,1867
9426,author_in_affiliation,1249
13780,author_write_paper,10518
13737,paper_in_domain,2270
12797,author_write_paper,10732
16253,author_write_paper,6917
7624,author_write_paper,13788
9561,paper_in_domain,717
12395,author_write_paper,12448
14791,paper_in_domain,1402
10093,paper_in_domain,1413
13024,author_write_paper,11533
13958,author_write_paper,8953
8350,paper_cite_paper,13734
13465,paper_cite_paper,12305
15652,author_write_paper,14194
8976,author_in_affiliation,4225
5857,paper_in_domain,1964
10238,paper_in_domain,1445
12937,paper_in_domain,3735
15315,author_write_paper,4591
13373,paper_cite_paper,10728
6329,author_write_paper,14543
5999,paper_cite_paper,10317
11003,author_write_paper,13921
4505,paper_in_venue,4124
13334,paper_cite_paper,10621
7151,author_write_paper,7852
3612,author_write_paper,13129
6040,paper_in_domain,572
12522,paper_in_domain,1333
12920,author_write_paper,11622
5213,paper_in_domain,206
7112,author_write_paper,13783
15925,author_write_paper,6576
12564,author_in_affiliation,579
11577,author_in_affiliation,2409
10086,paper_in_venue,4124
8799,paper_in_domain,1250
4919,paper_cite_paper,11712
12026,author_in_affiliation,4225
8288,author_in_affiliation,2523
5294,paper_in_domain,1782
6780,paper_in_domain,2369
11030,paper_cite_paper,5769
9647,paper_in_domain,824
4723,paper_in_domain,2270
3921,author_in_affiliation,4278
8036,paper_cite_paper,8874
6914,paper_in_venue,4097
13492,paper_in_domain,1250
13455,author_in_affiliation,854
15727,author_write_paper,7928
13625,paper_cite_paper,4867
13486,author_in_affiliation,2812
7839,paper_in_domain,836
15861,author_write_paper,9016
3300,author_write_paper,4321
4931,paper_cite_paper,4687
10241,author_in_affiliation,687
14422,paper_in_venue,4116
11944,paper_in_domain,220
11059,paper_cite_paper,11602
3280,author_write_paper,11348
5178,author_in_affiliation,4278
9937,paper_cite_paper,7075
4825,paper_in_venue,4119
5035,paper_in_domain,1370
9826,author_write_paper,5987
4732,paper_in_domain,2270
2217,paper_cite_paper,8507
10576,author_write_paper,10674
12776,paper_in_venue,4093
7193,paper_in_domain,3038
7531,author_in_affiliation,1151
10467,paper_in_domain,2978
13749,paper_cite_paper,14406
3075,author_write_paper,5910
8824,paper_in_domain,1863
12252,author_write_paper,12963
5975,paper_in_domain,73
15482,author_write_paper,5542
6812,author_write_paper,1001
13706,paper_cite_paper,5335
11671,paper_in_venue,4088
5956,author_write_paper,8707
5432,paper_in_venue,4125
10076,paper_in_domain,2448
11530,paper_in_domain,1463
14654,paper_cite_paper,8878
7311,paper_in_domain,2435
3457,author_in_affiliation,1707
12576,author_write_paper,10037
303,author_write_paper,13843
11426,paper_in_venue,4088
10014,paper_cite_paper,4887
7370,paper_in_domain,3160
7222,author_write_paper,4604
5416,paper_in_domain,1883
11459,author_write_paper,14722
6399,paper_in_domain,2854
7603,paper_cite_paper,9181
3158,author_write_paper,14517
14270,paper_in_domain,500
5939,paper_cite_paper,4599
12250,paper_cite_paper,9476
7315,paper_in_venue,4106
8197,paper_in_domain,1370
12183,paper_in_domain,2578
13262,paper_in_domain,1252
6519,paper_in_domain,2070
7055,author_write_paper,13599
8643,author_write_paper,6148
14826,paper_in_venue,4088
9284,paper_in_venue,4107
7819,paper_cite_paper,8543
8612,author_write_paper,12003
14288,paper_in_venue,4124
4541,paper_cite_paper,12871
10384,author_write_paper,7622
7309,author_in_affiliation,1442
14629,paper_cite_paper,12700
5592,paper_in_venue,4097
15252,author_write_paper,9548
10334,paper_in_domain,2838
3367,author_write_paper,5302
10973,author_in_affiliation,3043
14722,paper_in_venue,4116
13459,paper_in_domain,751
5937,paper_in_domain,1480
9907,author_write_paper,7837
9375,paper_cite_paper,9263
14867,author_write_paper,12433
10107,paper_in_domain,2080
13050,paper_in_venue,4107
5047,author_write_paper,11848
8645,author_in_affiliation,4278
13201,paper_in_domain,2464
3562,author_write_paper,12385
5657,author_in_affiliation,4278
11730,author_write_paper,4818
14611,paper_in_domain,1227
11395,paper_cite_paper,9936
9850,paper_cite_paper,9505
11823,paper_in_domain,1782
8091,paper_cite_paper,13167
7824,author_write_paper,4348
5535,author_write_paper,11442
10387,paper_in_domain,76
16032,author_in_affiliation,2351
10881,paper_cite_paper,8814
15885,author_in_affiliation,2534
8375,author_write_paper,10428
13255,paper_in_domain,2234
12132,paper_cite_paper,11870
11695,paper_cite_paper,12204
11204,paper_in_domain,1119
6324,author_in_affiliation,1585
9524,paper_in_domain,1413
4434,paper_cite_paper,1000
12167,author_write_paper,8496
13275,paper_in_domain,1896
6474,author_in_affiliation,4225
12780,paper_cite_paper,9562
7030,paper_in_domain,2342
10562,author_write_paper,4601
10731,author_write_paper,8581
5270,paper_in_venue,4109
11392,paper_in_domain,2270
13592,author_in_affiliation,1523
10224,author_write_paper,11753
10720,paper_in_domain,1325
10906,author_write_paper,12819
6543,paper_in_domain,1256
8489,author_write_paper,14726
10736,paper_in_domain,1930
4799,paper_in_domain,2280
13327,paper_in_domain,904
13829,paper_in_venue,4088
8947,paper_in_domain,2371
13790,author_write_paper,11379
13850,author_write_paper,11857
10983,paper_cite_paper,10594
15017,author_write_paper,10387
10174,paper_in_domain,951
5975,paper_in_domain,2920
5983,paper_in_domain,464
5832,paper_in_domain,1362
12338,paper_in_domain,1190
11384,author_write_paper,11974
13161,author_in_affiliation,1831
5505,paper_in_domain,2905
13274,paper_in_domain,1935
9957,paper_cite_paper,5523
11260,paper_in_domain,1930
4508,paper_in_domain,1856
5310,author_in_affiliation,408
6653,author_write_paper,10467
9056,paper_cite_paper,256
15251,author_write_paper,9079
15156,author_write_paper,9519
13014,paper_in_domain,459
15463,author_write_paper,13825
13424,author_write_paper,5867
13990,paper_cite_paper,14036
11957,author_write_paper,5423
5071,paper_in_domain,897
4969,paper_in_domain,2591
14070,paper_in_domain,1639
9353,author_write_paper,8939
14793,author_in_affiliation,1677
4355,paper_in_domain,869
12475,author_write_paper,2037
5334,author_write_paper,9208
4100,author_write_paper,12784
9634,paper_cite_paper,4894
3973,author_write_paper,14599
9551,author_write_paper,13177
14250,paper_in_domain,203
7740,paper_in_domain,2463
10656,author_write_paper,6432
7813,paper_cite_paper,14280
12294,paper_in_domain,1694
8850,paper_in_domain,540
13531,author_write_paper,7615
14747,author_write_paper,14771
4379,paper_in_venue,4093
5742,paper_in_domain,2759
4362,paper_in_domain,1646
8419,paper_in_domain,1483
8246,paper_cite_paper,10064
7009,author_write_paper,13844
4947,paper_in_domain,1557
12256,paper_in_domain,377
3984,author_in_affiliation,4227
14498,paper_in_domain,656
15353,author_write_paper,4798
6017,author_in_affiliation,3204
12374,paper_in_domain,1963
11539,paper_cite_paper,8784
4429,paper_in_venue,4119
1854,paper_in_domain,2574
12211,paper_in_venue,4119
4580,paper_in_domain,539
11945,author_write_paper,5558
14806,author_in_affiliation,1645
7112,author_in_affiliation,91
7456,paper_in_venue,4107
13383,paper_in_domain,1483
15103,author_in_affiliation,854
7252,paper_in_domain,508
5318,paper_in_domain,539
10615,paper_in_domain,1478
3822,author_write_paper,14267
9508,paper_in_domain,4
11182,author_in_affiliation,1474
5666,paper_cite_paper,8696
12602,author_write_paper,8514
13570,paper_in_venue,4088
9180,paper_cite_paper,13871
9789,author_write_paper,4941
11043,paper_in_domain,3157
15618,author_in_affiliation,1331
10333,paper_in_venue,4113
8034,author_in_affiliation,2409
11428,author_in_affiliation,2069
8213,paper_in_domain,717
6362,paper_in_venue,4126
15443,author_write_paper,13226
7442,author_write_paper,14430
8141,paper_in_domain,919
9618,paper_in_domain,387
7963,paper_in_domain,1507
8475,paper_in_domain,2679
9759,paper_in_domain,2386
14579,paper_cite_paper,5974
13048,author_in_affiliation,982
4815,paper_in_domain,1856
6455,paper_in_domain,27
12121,author_write_paper,14010
12990,paper_cite_paper,8121
9607,paper_cite_paper,7831
5207,author_in_affiliation,4040
4737,paper_in_domain,1795
11187,author_write_paper,4938
8150,paper_in_domain,1293
11330,paper_cite_paper,10459
12054,paper_in_domain,3735
11864,paper_in_venue,4109
4689,paper_cite_paper,12782
12836,paper_in_domain,418
3229,author_in_affiliation,448
11599,paper_cite_paper,9174
3747,author_write_paper,15357
14913,author_write_paper,5113
6995,author_in_affiliation,878
12073,author_write_paper,4410
5451,author_write_paper,5457
8727,paper_in_domain,138
9681,author_in_affiliation,1474
6058,paper_in_domain,795
4690,paper_in_domain,508
3632,author_write_paper,6112
2730,author_write_paper,11850
9308,paper_cite_paper,8924
14859,paper_in_domain,548
12797,author_in_affiliation,850
16206,author_in_affiliation,333
12907,paper_in_domain,500
16006,author_write_paper,11224
10402,author_write_paper,8924
9118,paper_in_domain,1063
12088,paper_in_domain,1951
10790,paper_in_domain,220
16335,author_write_paper,10580
8118,paper_cite_paper,11369
14189,paper_cite_paper,14301
833,author_write_paper,10304
4993,paper_in_venue,4109
15261,author_write_paper,3000
10133,paper_cite_paper,13835
3490,author_write_paper,10940
11609,paper_in_domain,466
11235,paper_cite_paper,4481
12726,author_in_affiliation,1151
5589,paper_cite_paper,14327
11074,author_in_affiliation,2523
5611,paper_in_venue,4097
15030,author_write_paper,2308
13650,author_in_affiliation,1110
11064,author_write_paper,6917
5550,paper_cite_paper,14301
11351,paper_in_domain,1597
15347,paper_cite_paper,6662
13997,paper_in_domain,1198
8210,paper_in_domain,656
9101,paper_cite_paper,12310
14471,author_write_paper,12312
3642,author_write_paper,4382
8617,paper_in_domain,1655
9592,author_write_paper,7984
1589,paper_in_venue,4132
5533,author_in_affiliation,588
14705,author_write_paper,10599
12931,paper_in_domain,1814
8773,paper_in_domain,2615
6560,author_in_affiliation,22
4801,paper_in_domain,1263
6153,paper_in_domain,1557
5923,paper_in_venue,4117
7944,paper_cite_paper,12310
7582,author_write_paper,12302
5581,paper_in_venue,4119
8235,paper_in_domain,2446
11864,paper_in_domain,2364
7225,author_write_paper,12828
6831,author_write_paper,9110
7130,paper_in_domain,2354
3530,author_write_paper,12090
10550,paper_cite_paper,4784
4847,paper_in_domain,1434
9265,paper_in_domain,2011
10769,paper_in_venue,4109
3911,author_write_paper,5143
4767,paper_in_domain,2929
6113,paper_in_domain,389
3386,author_write_paper,14635
14194,paper_in_domain,882
9707,author_in_affiliation,4267
9551,author_in_affiliation,2868
14274,author_in_affiliation,2239
14096,paper_in_domain,2818
9501,paper_in_domain,649
8780,author_in_affiliation,1874
14344,paper_in_domain,443
6732,paper_cite_paper,8507
14336,author_write_paper,9147
11400,author_write_paper,7916
11345,author_write_paper,13309
14289,author_in_affiliation,3117
7762,author_write_paper,7431
10225,paper_in_domain,1863
7180,paper_in_domain,364
12202,author_write_paper,8029
9973,paper_in_domain,824
8706,paper_in_domain,3113
13747,author_write_paper,14864
7643,author_in_affiliation,1523
15137,author_in_affiliation,4278
6987,paper_in_domain,2197
12613,paper_in_domain,766
9307,paper_in_domain,942
7669,author_in_affiliation,4227
11606,author_write_paper,14886
8809,author_in_affiliation,3104
11141,author_write_paper,1037
8540,author_write_paper,6676
13091,paper_in_domain,2143
2865,author_write_paper,1642
9902,author_write_paper,8858
9476,paper_in_domain,790
11131,paper_in_domain,2333
11253,author_write_paper,13674
14820,paper_in_domain,2016
13144,paper_in_domain,203
11260,paper_in_domain,104
9366,paper_in_domain,2425
9083,paper_cite_paper,4349
5065,author_write_paper,8826
4851,paper_in_domain,2565
13170,paper_in_domain,1208
8352,author_write_paper,12089
12312,paper_in_domain,2961
10449,author_write_paper,7432
1102,paper_in_venue,4132
4064,author_write_paper,11410
12436,author_in_affiliation,1521
7741,paper_in_domain,2852
9677,paper_in_domain,656
10333,paper_in_domain,2081
11130,paper_in_domain,1639
14294,paper_cite_paper,12270
7305,author_write_paper,13386
7940,paper_in_venue,4119
7765,paper_in_domain,1478
8829,paper_in_domain,1090
4466,paper_in_domain,2574
8548,paper_cite_paper,9808
14010,paper_cite_paper,9936
9130,author_write_paper,7167
11365,paper_cite_paper,8881
7578,paper_in_domain,785
9739,paper_in_venue,4088
14206,paper_in_domain,364
16078,author_write_paper,8073
9845,paper_in_venue,4110
13586,author_in_affiliation,503
6600,author_in_affiliation,1210
13465,paper_in_domain,2478
